Sequence ID,H_F1-FR1,H_F2-FR1,H_F3-FR1,H_F4-FR1,H_F5-FR1,H_F1-CDR1,H_F2-CDR1,H_F3-CDR1,H_F4-CDR1,H_F5-CDR1,H_F1-FR2,H_F2-FR2,H_F3-FR2,H_F4-FR2,H_F5-FR2,H_F1-CDR2,H_F2-CDR2,H_F3-CDR2,H_F4-CDR2,H_F5-CDR2,H_F1-FR3,H_F2-FR3,H_F3-FR3,H_F4-FR3,H_F5-FR3,L_F1-FR1,L_F2-FR1,L_F3-FR1,L_F4-FR1,L_F5-FR1,L_F1-CDR1,L_F2-CDR1,L_F3-CDR1,L_F4-CDR1,L_F5-CDR1,L_F1-FR2,L_F2-FR2,L_F3-FR2,L_F4-FR2,L_F5-FR2,L_F1-CDR2,L_F2-CDR2,L_F3-CDR2,L_F4-CDR2,L_F5-CDR2,L_F1-FR3,L_F2-FR3,L_F3-FR3,L_F4-FR3,L_F5-FR3,is_sarscov2_related
002-S22D8,-0.286,0.228,-1.022,0.756,-0.485,-0.197,0.591,-0.344,0.175,-0.353,-0.071,-0.098,0.082,0.173,0.185,-0.201,0.766,0.984,0.726,0.913,0.054,0.202,0.134,0.327,0.256,-0.201,0.265,-1.093,0.539,-0.543,-0.122,0.717,-2.01,0.177,-1.244,0.196,0.086,-0.076,0.108,0.131,-0.47,-0.402,-2.075,1.27,-0.98,-0.175,0.48,-0.838,0.449,-0.497,1
034-3,-0.179,0.119,-1.023,0.745,-0.407,-0.082,0.116,0.297,0.172,-0.115,-0.069,0.069,-0.554,0.13,-0.207,-0.4,0.699,-0.84,0.193,-0.437,0.095,-0.022,-0.141,0.309,0.01,-0.192,0.612,-1.142,0.61,-0.516,-0.005,0.957,-0.396,0.285,-0.19,0.041,0.138,-0.286,-0.048,-0.077,-0.172,0.474,-2.987,0.551,-2.384,0.031,0.416,-0.869,0.385,-0.439,1
15A7,-0.033,0.037,-1.228,0.554,-0.623,-0.014,0.634,0.678,0.15,0.28,-0.136,0.041,0.064,0.016,0.117,0.216,0.652,-0.329,0.196,-0.196,-0.026,0.068,-0.082,0.348,0.033,-0.201,0.265,-1.093,0.539,-0.543,-0.089,0.538,-0.847,0.217,-0.584,0.196,0.086,-0.076,0.108,0.131,-0.47,-0.402,-2.075,1.27,-0.98,-0.191,0.434,-0.92,0.467,-0.538,1
16L9,-0.282,0.217,-0.915,0.722,-0.402,-0.251,0.696,-0.029,0.391,-0.04,-0.168,0.077,-0.488,0.29,-0.277,-0.319,0.959,0.083,0.556,0.354,0.111,0.061,-0.002,0.282,-0.017,-0.246,0.697,-1.267,0.609,-0.688,-0.023,0.986,-0.999,0.271,-0.466,0.041,0.138,-0.286,-0.048,-0.077,-0.069,-0.111,-1.276,0.675,-1.582,0.099,0.342,-0.744,0.461,-0.351,1
23D142,-0.282,0.217,-0.915,0.722,-0.402,-0.293,0.734,-0.334,0.596,-0.249,-0.08,0.001,-0.188,0.242,-0.045,-0.319,0.959,0.083,0.556,0.354,0.083,0.061,-0.033,0.302,0.052,-0.225,0.261,-1.273,0.501,-0.733,0.286,0.439,-0.816,-0.118,-0.747,0.196,0.086,-0.076,0.108,0.131,-0.401,0.583,-1.388,1.095,-0.243,-0.137,0.441,-0.444,0.418,-0.322,1
23D145,-0.282,0.217,-0.915,0.722,-0.402,-0.253,0.646,-0.454,0.599,-0.206,-0.168,0.077,-0.488,0.29,-0.277,-0.319,0.959,0.083,0.556,0.354,0.09,0.048,-0.059,0.283,0.019,-0.228,0.615,-1.127,0.614,-0.569,-0.089,0.69,-0.525,0.459,-0.144,-0.21,-0.002,-0.286,0.216,-0.184,0.176,0.935,1.614,0.595,1.437,0.035,0.314,-0.705,0.489,-0.343,1
23D52,-0.286,0.228,-1.022,0.756,-0.485,-0.28,0.701,0.001,0.49,0.01,-0.099,0.043,-0.131,0.24,-0.066,-0.288,0.896,-0.436,0.681,0.107,0.145,0.071,-0.205,0.287,-0.077,-0.247,0.207,-0.976,0.587,-0.505,-0.148,0.759,-0.994,0.24,-0.459,-0.004,0.013,-0.097,0.28,0.048,-0.47,-0.402,-2.075,1.27,-0.98,-0.162,0.401,-0.502,0.466,-0.321,1
2G1,-0.191,0.221,-1.014,0.652,-0.425,-0.361,0.548,0.265,0.122,0.107,-0.168,0.077,-0.488,0.29,-0.277,-0.319,0.959,0.083,0.556,0.354,0.122,0.003,-0.015,0.237,0.082,-0.216,0.656,-1.275,0.622,-0.643,-0.059,1.02,-1.269,0.453,-0.652,0.013,0.171,-0.749,0.041,-0.322,-0.069,-0.111,-1.276,0.675,-1.582,0.099,0.342,-0.744,0.461,-0.351,1
4B7,-0.286,0.228,-1.022,0.756,-0.485,-0.374,0.61,-0.459,0.343,-0.304,-0.124,0.016,-0.499,0.309,-0.211,-0.364,0.982,0.128,0.836,0.543,0.108,0.079,0.008,0.246,0.095,-0.273,0.551,-1.124,0.621,-0.555,-0.008,0.498,-0.517,0.307,-0.317,0.041,0.138,-0.286,-0.048,-0.077,0.248,0.533,-0.651,0.609,-0.473,0.088,0.331,-0.619,0.447,-0.212,1
553-15,-0.303,0.279,-1.201,0.731,-0.526,-0.402,0.554,0.197,-0.058,0.029,-0.055,-0.017,-0.142,0.26,-0.0,0.513,0.212,0.18,0.173,0.199,0.014,0.013,-0.138,0.303,-0.087,-0.109,0.35,-0.708,0.376,-0.455,-0.212,0.707,-0.894,0.501,-0.345,-0.011,0.543,-0.39,0.179,-0.289,1.117,-0.108,-0.293,-0.105,-1.049,0.051,0.427,-1.08,0.409,-0.644,1
553-49,-0.286,0.228,-1.022,0.756,-0.485,-0.402,0.391,0.021,0.404,0.034,-0.022,0.079,0.031,0.221,0.085,-0.388,1.117,-0.743,0.806,0.048,0.124,0.085,-0.027,0.271,0.048,-0.092,0.378,-0.583,0.366,-0.404,-0.212,0.707,-0.894,0.501,-0.345,-0.032,0.384,-0.153,0.232,-0.142,1.117,-0.108,-0.293,-0.105,-1.049,0.051,0.427,-1.08,0.409,-0.644,1
6M6,-0.209,0.159,-1.015,0.732,-0.452,-0.082,0.116,0.297,0.172,-0.115,-0.112,0.141,-0.201,0.234,0.047,-0.351,0.431,0.904,0.253,0.553,0.1,0.045,-0.177,0.339,0.034,-0.114,0.477,-0.398,0.557,-0.174,0.116,0.695,-0.704,0.389,0.028,-0.122,0.151,-0.566,0.155,-0.469,0.624,0.668,-4.024,0.051,-3.044,0.08,0.335,-0.203,0.46,-0.092,1
8-D9,-0.354,0.298,-1.126,0.783,-0.47,-0.253,0.646,-0.454,0.599,-0.206,-0.099,0.043,-0.131,0.24,-0.066,-0.226,1.05,0.496,0.408,0.475,0.083,0.061,-0.033,0.302,0.052,-0.232,0.186,-0.827,0.496,-0.42,-0.148,0.759,-0.994,0.24,-0.459,0.106,-0.039,-0.195,0.21,0.067,-0.47,-0.402,-2.075,1.27,-0.98,-0.162,0.401,-0.502,0.466,-0.321,1
A19-61-1,-0.239,0.239,-1.156,0.706,-0.506,-0.402,0.391,0.021,0.404,0.034,-0.176,-0.134,-0.088,0.252,-0.025,0.138,0.711,-1.04,0.126,-0.633,0.116,0.131,-0.162,0.262,-0.015,-0.262,0.259,-1.058,0.517,-0.576,-0.29,0.622,-1.399,0.024,-0.742,0.087,0.002,-0.139,0.209,0.047,0.077,0.133,-3.05,0.66,-2.012,-0.14,0.519,-0.804,0.437,-0.467,1
A34-2,-0.209,0.159,-1.015,0.732,-0.452,-0.105,-0.032,-0.043,0.407,-0.334,-0.106,0.031,-0.14,0.175,-0.076,-0.179,0.517,-0.057,0.164,0.256,0.054,-0.057,-0.237,0.383,-0.021,-0.186,0.509,-0.338,0.612,-0.051,0.116,0.695,-0.704,0.389,0.028,-0.045,0.315,-0.416,0.055,-0.375,0.361,0.844,-1.773,-0.142,-1.459,0.06,0.363,-0.197,0.451,-0.123,1
A5-10,-0.273,0.199,-1.061,0.757,-0.471,-0.402,0.391,0.021,0.404,0.034,-0.124,0.016,-0.499,0.309,-0.211,-0.527,0.907,-0.216,0.877,0.221,0.092,0.062,-0.029,0.258,0.035,-0.179,0.334,-1.323,0.566,-0.703,-0.121,0.569,0.626,-0.053,0.64,0.106,-0.039,-0.195,0.21,0.067,-0.47,-0.402,-2.075,1.27,-0.98,-0.175,0.48,-0.838,0.449,-0.497,1
ADI-62113,0.07,0.013,-1.365,0.485,-0.632,-0.443,0.604,0.436,0.332,0.052,-0.034,-0.092,0.083,-0.111,0.18,0.249,0.418,-0.443,0.301,-0.042,0.017,0.066,-0.442,0.327,-0.289,-0.252,0.31,-1.384,0.591,-0.832,0.548,0.207,-1.243,-0.024,-0.724,0.167,0.119,-0.538,0.197,-0.114,0.077,0.133,-3.05,0.66,-2.012,-0.099,0.395,-0.082,0.402,-0.112,1
ADI-75566,-0.316,0.319,-1.274,0.673,-0.483,-0.181,0.405,0.743,0.298,0.591,-0.149,0.035,-0.544,0.291,-0.256,-0.343,0.42,1.654,0.719,1.277,0.124,0.085,-0.027,0.271,0.048,-0.24,0.282,-1.422,0.592,-0.818,0.63,0.112,0.066,-0.276,-0.031,0.196,0.086,-0.076,0.108,0.131,-0.336,0.225,0.937,1.174,1.077,-0.105,0.425,-0.276,0.395,-0.222,1
ADI-75567,-0.229,0.334,-1.479,0.637,-0.59,-0.256,0.483,0.954,-0.163,0.477,-0.124,0.052,-0.304,0.183,0.094,0.205,0.882,-1.068,0.401,-0.402,0.073,-0.037,0.024,0.353,0.08,-0.116,0.234,-0.863,0.512,-0.453,0.65,0.668,-0.954,-0.211,-0.727,0.099,0.182,-0.456,0.13,-0.212,-0.471,0.035,-1.607,0.037,-0.992,-0.139,0.288,-0.47,0.477,-0.265,1
ADI-75568,-0.249,0.339,-1.385,0.621,-0.726,-0.304,0.602,-0.142,0.445,0.174,0.115,0.073,-0.172,0.022,-0.252,-0.286,0.744,-1.468,0.412,-0.547,0.068,0.128,-0.557,0.367,-0.232,-0.211,0.333,-0.723,0.516,-0.358,0.261,0.516,-0.251,0.313,0.368,0.048,-0.246,-0.402,0.311,-0.006,-0.47,-0.402,-2.075,1.27,-0.98,-0.158,0.415,-0.52,0.473,-0.359,1
ADI-75570,-0.303,0.357,-1.255,0.697,-0.516,-0.316,0.39,-0.204,0.487,-0.038,-0.112,0.19,-0.377,0.278,-0.081,0.036,0.632,0.288,0.644,0.572,0.106,0.106,-0.138,0.308,0.026,-0.214,0.294,-1.054,0.538,-0.557,0.041,0.306,-0.961,0.132,-0.106,0.106,-0.039,-0.195,0.21,0.067,-0.47,-0.402,-2.075,1.27,-0.98,-0.175,0.48,-0.838,0.449,-0.497,1
ADI-75571,-0.174,0.331,-1.44,0.533,-0.824,-0.22,1.193,-1.12,0.605,-0.321,0.027,0.267,0.148,-0.116,0.296,0.054,0.277,1.785,0.095,1.243,-0.084,0.143,-0.311,0.376,-0.2,-0.201,0.265,-1.093,0.539,-0.543,-0.034,0.759,-1.294,0.351,-0.556,0.181,-0.161,-0.168,0.305,0.292,-0.47,-0.402,-2.075,1.27,-0.98,-0.158,0.415,-0.52,0.473,-0.359,1
ADI-75572,-0.165,0.294,-1.434,0.612,-0.571,-0.099,0.092,0.94,0.115,0.73,-0.156,-0.189,-0.069,0.217,0.022,0.239,0.696,-0.933,0.261,-0.455,0.101,0.112,-0.13,0.195,-0.001,-0.277,0.524,-1.083,0.668,-0.628,-0.005,0.957,-0.396,0.285,-0.19,0.041,0.138,-0.286,-0.048,-0.077,0.322,-0.301,0.744,0.395,-0.389,0.099,0.342,-0.744,0.461,-0.351,1
ADI-75574,-0.045,0.057,-1.189,0.583,-0.573,0.169,0.218,1.539,0.05,0.679,0.012,-0.053,0.127,-0.007,0.336,0.107,0.822,-0.455,0.458,0.011,0.134,-0.021,0.234,0.356,0.263,-0.089,0.465,-1.393,0.543,-0.81,0.131,0.462,-0.458,0.467,0.119,-0.055,-0.049,-0.469,0.215,-0.376,0.549,0.238,-0.744,-0.857,-0.603,-0.106,0.338,-1.232,0.547,-0.679,1
ADI-75577,-0.256,0.29,-1.335,0.681,-0.547,0.037,-0.179,0.822,0.259,0.364,-0.156,-0.189,-0.069,0.217,0.022,0.384,-0.013,-0.705,0.169,-0.45,0.123,0.043,-0.145,0.261,-0.024,-0.231,0.356,-1.038,0.576,-0.524,0.047,0.664,0.015,0.1,0.138,0.179,0.116,-0.019,0.15,0.204,-0.47,-0.402,-2.075,1.27,-0.98,-0.206,0.473,-0.796,0.409,-0.479,1
ADI-75580,0.072,0.149,-1.488,0.448,-0.747,-0.177,0.599,0.708,0.479,0.688,-0.174,0.228,-0.227,0.287,-0.01,-0.424,-0.18,1.294,0.807,0.787,0.007,-0.093,0.144,0.378,0.04,-0.234,0.431,-0.9,0.525,-0.595,0.137,0.977,1.046,0.13,0.781,0.003,0.211,-0.932,0.127,-0.618,-0.478,0.33,0.679,1.073,0.822,-0.033,0.32,-0.202,0.46,-0.044,1
ADI-75582,-0.148,0.243,-1.254,0.636,-0.53,-0.349,0.523,-1.503,0.42,-0.643,-0.137,-0.231,-0.126,0.218,0.042,0.032,0.164,-0.051,0.541,0.336,0.126,0.078,0.043,0.249,0.103,-0.216,0.603,-1.172,0.57,-0.794,0.595,0.112,0.055,0.11,0.453,-0.097,0.263,-0.401,0.111,-0.233,0.584,0.507,-3.807,-0.031,-2.581,0.052,0.297,-0.088,0.404,-0.028,1
ADI-75585,-0.32,0.33,-1.381,0.707,-0.566,-0.353,0.286,1.94,0.001,1.019,-0.124,0.016,-0.499,0.309,-0.211,0.341,-0.086,-0.835,0.344,-0.525,0.019,0.027,-0.152,0.316,0.001,-0.215,0.287,-1.242,0.63,-0.628,-0.393,0.132,-1.388,0.733,-0.767,0.242,0.079,-0.315,0.108,0.032,-0.47,-0.402,-2.075,1.27,-0.98,-0.157,0.43,-0.488,0.446,-0.342,1
ADI-75586,-0.234,0.092,-1.277,0.728,-0.581,-0.082,0.116,0.297,0.172,-0.115,-0.112,0.141,-0.201,0.234,0.047,-0.538,0.489,-0.313,0.265,-0.264,0.074,0.105,-0.167,0.27,0.034,-0.287,0.619,-0.991,0.598,-0.549,0.165,0.777,-0.653,0.046,-0.549,0.036,0.154,-0.444,0.002,-0.199,-0.106,0.116,-0.662,0.63,-1.064,0.022,0.314,-0.363,0.402,-0.13,1
ADI-75588,-0.19,0.275,-1.168,0.626,-0.681,-0.545,0.896,-0.595,0.423,-0.033,0.037,0.296,0.003,0.062,-0.008,-0.477,0.228,-0.939,0.354,-0.318,-0.025,0.161,-0.529,0.362,-0.275,-0.201,0.265,-1.093,0.539,-0.543,-0.034,0.759,-1.294,0.351,-0.556,0.066,-0.043,-0.617,0.248,-0.24,-0.719,-0.061,-2.012,1.161,-1.352,-0.09,0.438,-0.318,0.437,-0.229,1
ADI-75589,-0.32,0.33,-1.381,0.707,-0.566,-0.015,0.27,0.976,-0.239,0.581,-0.124,0.016,-0.499,0.309,-0.211,0.644,0.006,-0.677,0.113,-0.3,0.031,-0.037,0.147,0.281,0.097,-0.147,0.246,-0.435,0.405,-0.194,-0.065,0.636,-0.137,0.397,0.102,0.078,0.283,0.373,0.169,0.306,1.152,-0.283,-1.945,-0.135,-2.44,0.051,0.427,-1.08,0.409,-0.644,1
ADI-75593,-0.255,0.364,-1.365,0.59,-0.551,-0.063,0.313,0.019,0.374,-0.352,-0.162,0.061,-0.33,0.24,-0.154,-0.288,1.209,-0.466,0.487,-0.033,0.007,0.061,-0.303,0.288,-0.242,-0.192,0.174,-0.649,0.543,-0.29,0.106,0.384,-2.433,-0.202,-1.857,0.106,-0.039,-0.195,0.21,0.067,0.524,0.388,-0.671,0.434,0.105,-0.158,0.415,-0.52,0.473,-0.359,1
ADI-75594,-0.249,0.339,-1.385,0.621,-0.726,-0.415,0.833,0.078,0.329,0.364,0.073,0.178,-0.379,0.028,-0.238,-0.201,0.778,-1.659,0.55,-0.8,-0.004,0.157,-0.423,0.376,-0.214,-0.159,0.36,-0.706,0.533,-0.363,-0.419,0.174,-0.373,0.796,0.018,0.243,0.105,-0.088,-0.003,0.12,-0.47,-0.402,-2.075,1.27,-0.98,-0.158,0.415,-0.52,0.473,-0.359,1
ADI-75595,-0.176,0.278,-0.79,0.655,-0.225,-0.075,-0.316,1.546,0.384,1.189,-0.156,-0.189,-0.069,0.217,0.022,0.239,0.414,0.008,0.105,0.115,0.105,0.202,-0.103,0.238,-0.056,-0.105,0.581,-0.766,0.591,-0.244,-0.081,1.045,-1.623,0.473,-0.73,-0.099,0.178,0.159,0.169,0.018,0.572,0.752,-1.994,0.176,-1.473,0.056,0.395,-1.005,0.474,-0.468,1
ADI-75599,0.472,-0.256,-0.154,0.497,0.286,-0.365,-0.338,0.395,0.496,0.313,-0.156,-0.189,-0.069,0.217,0.022,0.08,0.519,-1.083,0.316,-0.593,0.133,0.071,0.071,0.212,0.104,-0.182,0.794,-1.166,0.607,-0.622,-0.081,1.045,-1.623,0.473,-0.73,-0.14,0.155,0.065,0.228,-0.026,0.554,1.018,-0.721,0.111,-0.26,0.056,0.395,-1.005,0.474,-0.468,1
ADI-75603,-0.067,0.241,-0.611,0.606,-0.16,-0.388,0.511,0.886,0.288,0.62,-0.112,-0.249,-0.08,0.236,0.087,-0.254,0.287,-0.297,0.312,-0.464,0.12,0.055,-0.311,0.238,-0.093,-0.102,0.675,-0.97,0.532,-0.473,-0.056,0.91,-0.751,0.502,-0.235,-0.1,0.155,-0.04,0.267,-0.06,0.554,1.018,-0.721,0.111,-0.26,-0.019,0.45,-0.912,0.451,-0.425,1
ADI-75609,-0.14,0.229,-1.082,0.582,-0.743,-0.051,0.895,0.371,0.323,0.696,-0.022,0.414,0.256,-0.044,0.253,-0.118,0.626,-1.693,0.4,-0.928,0.027,0.133,-0.539,0.399,-0.231,-0.167,0.471,-1.481,0.601,-0.782,-0.035,0.076,-0.239,0.434,-0.347,0.01,0.102,-0.139,0.197,-0.04,0.787,0.478,-1.405,-0.452,-1.657,-0.098,0.324,-1.259,0.527,-0.714,1
ADI-75610,-0.152,0.265,-1.472,0.613,-0.557,-0.082,0.116,0.297,0.172,-0.115,-0.079,0.083,-0.196,0.152,0.07,-0.363,0.464,0.569,0.359,0.293,0.08,0.115,-0.141,0.312,0.057,-0.061,0.242,-0.472,0.606,-0.357,0.41,0.453,0.339,0.35,0.952,-0.134,-0.023,-0.688,0.185,-0.599,0.094,1.202,-0.332,0.61,0.295,0.053,0.31,-0.272,0.536,-0.118,1
ADI-75614,-0.116,0.133,-0.22,0.571,-0.163,-0.503,0.655,-0.126,0.84,0.176,-0.161,-0.068,-0.185,0.413,-0.038,0.358,0.146,-1.153,-0.55,-1.348,0.074,0.21,-0.327,0.316,-0.165,-0.174,0.084,-0.89,0.417,-0.539,0.33,0.988,-1.433,0.257,-0.536,0.068,0.238,-0.185,0.12,-0.037,-0.471,0.035,-1.607,0.037,-0.992,-0.084,0.427,-0.576,0.468,-0.319,1
ADI-75616,-0.087,0.288,-1.345,0.553,-0.598,-0.131,0.444,1.933,0.339,1.498,-0.156,-0.189,-0.069,0.217,0.022,0.081,0.286,-0.408,0.384,-0.549,0.132,0.123,-0.26,0.268,-0.139,-0.19,0.393,-1.128,0.621,-0.508,0.042,0.308,-1.398,0.69,-0.62,0.119,-0.065,-0.409,0.262,-0.034,0.077,0.133,-3.05,0.66,-2.012,-0.13,0.406,-0.182,0.46,-0.129,1
ADI-75618,-0.274,0.174,-0.636,0.731,-0.243,-0.034,0.307,-0.011,0.275,-0.403,-0.162,0.061,-0.33,0.24,-0.154,-0.288,1.209,-0.466,0.487,-0.033,0.07,0.003,-0.214,0.313,-0.122,-0.192,0.174,-0.649,0.543,-0.29,0.106,0.384,-2.433,-0.202,-1.857,0.106,-0.039,-0.195,0.21,0.067,0.524,0.388,-0.671,0.434,0.105,-0.164,0.444,-0.713,0.466,-0.469,1
ADI-75619,-0.249,0.339,-1.385,0.621,-0.726,-0.489,0.721,-1.174,0.366,-0.64,0.037,0.296,0.003,0.062,-0.008,-0.206,0.485,-1.027,0.105,-0.18,-0.075,0.166,-0.202,0.442,-0.034,-0.215,0.287,-1.242,0.63,-0.628,-0.034,0.759,-1.294,0.351,-0.556,0.119,-0.065,-0.409,0.262,-0.034,-0.47,-0.402,-2.075,1.27,-0.98,-0.164,0.444,-0.713,0.466,-0.469,1
ADI-75620,-0.048,0.205,-0.208,0.586,-0.029,-0.544,0.467,-1.03,0.869,-0.441,-0.161,-0.068,-0.185,0.413,-0.038,0.487,0.091,-0.648,-0.518,-0.848,0.115,0.2,-0.346,0.304,-0.123,0.041,0.346,-1.189,0.412,-0.69,-0.101,0.142,-0.23,0.429,0.216,0.01,0.102,-0.139,0.197,-0.04,0.787,0.478,-1.405,-0.452,-1.657,-0.098,0.324,-1.259,0.527,-0.714,1
ADI-75621,0.076,0.089,-1.435,0.379,-0.838,-0.108,0.372,0.969,-0.395,0.591,-0.16,0.013,0.438,0.276,0.356,0.083,0.793,-0.616,0.26,-0.602,-0.032,0.146,-0.61,0.317,-0.326,-0.103,0.457,-0.437,0.529,-0.224,0.132,0.561,0.012,0.57,0.342,-0.14,0.181,-0.509,0.197,-0.396,1.015,0.477,-2.004,-0.229,-1.85,0.051,0.148,0.096,0.487,0.042,1
ADI-75622,-0.35,0.371,-1.373,0.693,-0.611,-0.29,0.56,-1.108,0.634,-0.542,-0.112,0.19,-0.377,0.278,-0.081,0.074,0.412,0.929,0.69,0.873,0.071,0.068,-0.255,0.294,-0.175,-0.214,0.294,-1.054,0.538,-0.557,0.041,0.306,-0.961,0.132,-0.106,0.106,-0.039,-0.195,0.21,0.067,-0.47,-0.402,-2.075,1.27,-0.98,-0.175,0.48,-0.838,0.449,-0.497,1
ADI-75623,-0.32,0.33,-1.381,0.707,-0.566,-0.197,0.591,-0.344,0.175,-0.353,0.002,0.057,0.259,0.112,0.322,-0.23,0.344,0.69,0.801,0.597,-0.001,0.103,-0.114,0.358,0.014,-0.217,0.247,-0.881,0.54,-0.4,0.01,0.153,-1.328,0.093,-0.712,0.144,0.168,-0.031,0.114,0.089,-0.47,-0.402,-2.075,1.27,-0.98,-0.143,0.464,-0.67,0.426,-0.398,1
